Osceola,"23,516",22891,23177,23528,23416,23197,21743,20146,"18,928","14,838"
Oscoda,"8,723",8219,8277,8640,9036,9418,8686,7842,"6,858","4,726"
Otsego,"26,080",25091,24203,24164,24290,23301,20752,17957,"14,993","10,422"
Ottawa,"308,459",296200,280859,263801,254044,238314,210013,187768,"157,174","128,181"
PresqueIsle,"13,128",12982,12801,13376,13998,14411,14320,13743,"14,267","12,836"
Roscommon,"23,914",23459,23912,24449,25720,25469,22428,19776,"16,374","9,892"
Saginaw,"187,688",190124,193305,200169,206427,210039,211599,211946,"228,059","219,743"
SaintClair,"160,486",160383,159700,163040,169527,164235,154081,145607,"138,802","120,175"
SaintJoseph,"60,968",60939,60804,61295,62392,62422,60466,58913,"56,083","47,392"
Sanilac,"40,083",40611,41464,43114,43998,44547,41992,39928,"40,789","35,181"
Schoolcraft,"8,187",8047,8121,8485,8656,8903,8700,8302,"8,575","8,226"
Shiawassee,"67,681",68094,68505,70648,72249,71687,71942,69770,"71,140","63,075"
Tuscola,"52,680",53323,53726,55729,57526,58266,57294,55498,"56,961","48,603"
VanBuren,"76,071",75587,75060,76258,77973,76263,74323,70060,"66,814","56,173"
Washtenaw,"370,214",372258,362975,344791,343615,322895,291377,282937,"264,740","234,103"
Wayne,"1,769,038",1793561,1764872,1820584,2025951,2061162,2131160,2111687,"2,337,843","2,670,368"
Wexford,"34,445",33673,32889,32735,31573,30484,28543,26360,"25,102","19,717"
Michigan,"10,127,884",10077331,9931715,9883640,10092426,9938444,9659871,9295287,"9,262,044","8,881,826"
