station name,latitude,longitude,county,peninsula,# months
"EAST TAWAS, MI US",44.2838,-83.5036,Iosco,lower,107
"STAMBAUGH 2 SSE, MI US",46.0555,-88.6275,Iron,upper,118
"AMASA 1 W, MI US",46.2347,-88.4544,Iron,upper,73
"CENTRAL MICHIGAN UNIVERSITY, MI US",43.5859,-84.7694,Isabella,lower,93
"JACKSON REYNOLDS FIELD, MI US",42.26373,-84.45644,Jackson,lower,119
"GULL LAKE BIOLOGICAL STATION, MI US",42.3941,-85.385,Kalamazoo,lower,77
"KALAMAZOO BATTLE CREEK INTERNATIONAL AIRPORT, MI US",42.22826,-85.546,Kalamazoo,lower,71
"KALKASKA, MI US",44.728,-85.1727,Kalkaska,lower,90
"KALKASKA 11 SE, MI US",44.5897,-85.0486,Kalkaska,lower,36
"GRAND RAPIDS GERALD R FORD INTERNATIONAL AIRPORT, MI US",42.8821,-85.52297,Kent,lower,120
"WINDIGO MICHIGAN, MI US",47.9117,-89.1547,Keweenaw,upper,42
"COPPER HARBOR, MI US",47.467386,-87.875032,Keweenaw,upper,71
"COPPER HARBOR FORT WILKINS, MI US",47.4679,-87.8671,Keweenaw,upper,59
"BALDWIN MICHIGAN, MI US",43.8933,-85.8506,Lake,lower,59
"BALDWIN, MI US",43.9005,-85.8505,Lake,lower,56
"LAPEER WWTP, MI US",43.0608,-83.3074,Lapeer,lower,118
"LAPEER 2 W, MI US",43.05733,-83.36032,Lapeer,lower,48
"MAPLE CITY 1 E, MI US",44.855,-85.8352,Leelanau,lower,98
"NW MICHIGAN RESEARCH FARM, MI US",44.883,-85.6752,Leelanau,lower,72
"NORTHPORT 2 W, MI US",45.1322,-85.6472,Leelanau,lower,59
"ADRIAN 2 NNE, MI US",41.91636,-84.01635,Lenawee,lower,110
"ADRIAN LENAWEE CO AIRPORT, MI US",41.86784,-84.07946,Lenawee,lower,69
"MORENCI, MI US",41.7216,-84.2147,Lenawee,lower,57
"TECUMSEH, MI US",42.0027,-83.9336,Lenawee,lower,47
"TIPTON 2 WNW, MI US",42.0283,-84.1108,Lenawee,lower,38
"NEWBERRY LUCE CO ROAD COMMISSION, MI US",46.35155,-85.51629,Luce,upper,85
"SPINCICH LAKE MICHIGAN, MI US",46.4578,-85.6272,Luce,upper,53
"ST IGNACE MACKINAC B, MI US",45.8488,-84.7227,Mackinac,upper,60
"MORAN, MI US",45.9902,-84.8361,Mackinac,upper,48
"ENGADINE MDOT, MI US",46.128,-85.5696,Mackinac,upper,47
"MOUNT CLEMENS ANG BASE, MI US",42.6083,-82.8183,Macomb,lower,117
"RICHMOND 4 NNW, MI US",42.8783,-82.7958,Macomb,lower,60
"MANISTEE 3 SE, MI US",44.2113,-86.2938,Manistee,lower,104
"WELLSTON 1 N, MI US",44.2294,-85.9572,Manistee,lower,39
"MARQUETTE WEATHER FORECAST OFFICE, MI US",46.5313,-87.5491,Marquette,upper,120
"MARQUETTE, MI US",46.5458,-87.3795,Marquette,upper,119
"BIG BAY 1 NW, MI US",46.8325,-87.7504,Marquette,upper,85
"CHAMPION VAN RIPER P, MI US",46.5193,-87.9859,Marquette,upper,68
"CLARKSBURG, MI US",46.49909,-87.84506,Marquette,upper,53
"ISHPEMING WWTP, MI US",46.4911,-87.6894,Marquette,upper,47
"LUDINGTON, MI US",43.9066,-86.3942,Mason,lower,72
"BIG RAPIDS WATER TREATMENT PLANT, MI US",43.7072,-85.4819,Mecosta,lower,117
"STEPHENSON 8 WNW, MI US",45.39028,-87.7025,Menominee,upper,68
"MIDLAND, MI US",43.6088,-84.2011,Midland,lower,110
"LAKE CITY EXPERIMENTAL FARM, MI US",44.3088,-85.205,Missaukee,lower,120
"MONROE, MI US",41.91389,-83.39417,Monroe,lower,77
"DUNDEE, MI US",41.9552,-83.6488,Monroe,lower,57
"NEWPORT 4 SSE, MI US",41.9497,-83.28,Monroe,lower,46
"MILAN WWTP, MI US",42.0811,-83.6769,Monroe,lower,40
"MILAN 4 ESE, MI US",42.06639,-83.61861,Monroe,lower,39
"GREENVILLE 2 NNE, MI US",43.2026,-85.2421,Montcalm,lower,108
"ATLANTA, MI US",45.00471,-84.14043,Montmorency,lower,59
"ATLANTA 5 WNW, MI US",45.02833,-84.23306,Montmorency,lower,55
"MUSKEGON CO AIRPORT, MI US",43.17111,-86.23685,Muskegon,lower,120
"MONTAGUE 4 NW, MI US",43.461,-86.41773,Muskegon,lower,111
"FREMONT 4 WSW, MI US",43.44527,-86.02646,Newaygo,lower,42
"MILFORD GM PROVING GROUND, MI US",42.5794,-83.6844,Oakland,lower,91
"PONTIAC OAKLAND CO INTERNATIONAL AIRPORT, MI US",42.66314,-83.41016,Oakland,lower,71
"WHITE LAKE 4 E, MI US",42.698,-83.4716,Oakland,lower,69
"FARMINGTON, MI US",42.4669,-83.3625,Oakland,lower,60
"PONTIAC WWTP, MI US",42.6388,-83.2555,Oakland,lower,60
"HART 3 WSW, MI US",43.6751,-86.4228,Oceana,lower,94
"HESPERIA 4 WNW, MI US",43.5908,-86.1056,Oceana,lower,76
"WEST BRANCH 3 SE, MI US",44.2541,-84.2011,Ogemaw,lower,119
"LUPTON 1 S, MI US",44.4199,-84.0232,Ogemaw,lower,102
"BERGLAND DAM, MI US",46.5869,-89.5475,Ontonagon,upper,109
"ONTONAGON 6 SE, MI US",46.8343,-89.2074,Ontonagon,upper,72
"PAULDING, MI US",46.3976,-89.1794,Ontonagon,upper,36
"MIO HYDRO PLANT, MI US",44.6613,-84.1316,Oscoda,lower,70
