"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-01","0.0","-23.9","7.2","2571.1","-7.1","-2.9","-11.3"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-02","0.0","-25.6","3.9","3345.0","-8.4","-3.5","-13.2"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-03","0.0","-25.6","10.6","4059.4","-4.7","0.7","-10.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-04","0.0","-7.2","27.8","4466.7","4.3","9.1","-0.5"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-05","2.5","-1.1","29.4","4678.7","11.4","18.4","4.3"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-06","18.9","-1.1","32.2","4844.6","13.4","19.6","7.1"
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-01",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-02",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-03",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-04",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-05",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-06",,,,,,,
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-01","0.0","-26.1","9.4",,"-7.3","-1.9","-12.7"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-02","0.0","-31.7","2.8",,"-11.1","-3.7","-18.4"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-03","0.0","-32.8","11.7",,"-6.1","1.3","-13.5"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-04","0.0","-7.8","31.7",,"4.8","10.5","-0.9"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-05","5.8","-2.8","30.6",,"12.8","21.0","4.5"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-06","30.5","-1.1","31.7",,"14.7","21.8","7.6"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-01","0.0","-18.9","12.2","2128.6","-4.6","-0.3","-9.0"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-02","0.0","-20.6","5.0","2838.0","-6.1","-1.7","-10.6"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-03","0.0","-20.0","15.0","3419.4","-0.4","4.7","-5.5"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-04","0.6","-3.3","30.6","3740.1","7.7","13.4","1.9"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-05","12.4","-0.6","29.4","3852.9","15.1","22.2","8.0"
