"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-07","59.1","3.3","30.6","37.1","18.4","25.0","11.9"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-08","117.0","6.1","30.6","57.1","19.6","25.0","14.2"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-09","126.5","-1.7","28.3","199.7","13.7","18.9","8.6"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-10","126.5","-4.4","19.4","579.1","6.1","10.6","1.6"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-11","126.5","-9.4","11.1","1096.6","1.1","4.7","-2.6"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1980-12","126.5","-18.3","4.4","1874.5","-6.8","-3.2","-10.3"
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-07",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-08",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-09",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-10",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-11",,,,,,,
"USC00206020","NOTTAWA 3 SE, MI US","41.88333","-85.41667","262.1","1980-12",,,,,,,
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-07","86.0","5.0","33.3","22.6","19.4","26.6","12.1"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-08","147.4","5.6","32.2","44.3","19.6","26.8","12.4"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-09","155.4","-4.4","28.9","199.4","13.1","20.1","6.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-10","155.4","-7.2","25.0","609.6","5.1","10.2","0.0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-11","155.4","-13.9","15.6","1159.5","0.0","5.1","-5.1"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1980-12","155.4","-28.9","6.7","1975.0","-8.6","-3.5","-13.7"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-07","173.6","9.4","34.4","0.0","22.4","28.8","15.9"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-08","280.6","8.9","31.7","2.2","21.7","27.7","15.8"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-09","312.4","-1.1","32.2","77.3","16.9","23.8","10.0"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-10","313.0","-7.2","26.7","390.7","7.2","12.9","1.4"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-11","313.0","-10.0","20.6","865.8","2.5","8.1","-3.1"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1980-12","313.0","-27.2","13.3","1566.8","-4.3","0.7","-9.3"
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1980-07",,,,,,,
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1980-08",,,,,,,
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1980-09",,,,,,,
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1980-10",,,,,,,
