"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TMAX","TMIN","TOBS"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-06",,"37","28","30"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-07",,"38","28","29"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-08",,"46","28","31"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-09",,"40","31","34"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-10",,"34","26","28"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-11",,"35","22","26"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-12",,"53","25","35"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-13",,"59","31","31"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-14",,"48","28","29"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-15",,"38","29","31"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-16",,"41","31","38"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-17",,"43","24","25"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-18",,"28","22","24"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-19",,"26","23","26"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-20",,"34","17","17"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-21",,"20","15","18"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-22",,"24","17","18"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-23",,"29","18","23"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-24",,"26","14","17"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-25",,"33","14","33"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-26",,"40","28","37"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-27",,"50","25","25"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-28",,"30","21","21"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-29",,"32","20","29"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-30",,"34","26","28"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-03-31",,"35","26","27"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-01",,"45","25","29"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-02",,"38","26","32"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-03",,"47","32","33"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-04",,"38","32","36"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-05",,"40","31","33"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-06",,"41","29","29"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-07",,"42","27","31"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-08",,"58","31","38"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-09",,"56","38","41"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-10",,"52","40","43"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-11",,"60","42","42"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-12",,"61","38","41"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-13",,"45","37","38"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-14",,"50","38","38"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-15",,"49","37","39"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-16",,"51","32","33"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-17",,"57","33","41"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-18",,"48","39","39"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-19",,"53","37","38"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-20",,"44","35","35"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-21",,"38","28","29"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-22",,"48","29","33"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-23",,"65","32","43"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-24",,"63","28","28"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-25",,"33","23","25"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-26",,"51","25","32"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-27",,"58","32","46"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-28",,"69","38","38"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-29",,"42","38","41"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-04-30",,"46","41","45"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-01",,"47","41","44"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-02",,"59","31","41"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-03",,"48","39","47"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-04",,"74","44","45"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-05",,"73","40","43"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-06",,"57","40","43"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-07",,"65","43","49"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-08",,"71","44","46"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-09",,"54","39","41"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-10",,"50","37","40"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-11",,"52","40","40"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-12",,"50","39","45"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-13",,"68","42","43"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-14",,"50","38","40"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-15",,"46","34","36"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-16",,"48","36","39"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-17",,"66","39","49"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-18",,"67","48","54"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-19",,"82","52","53"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-20",,"69","53","55"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-21",,"63","49","49"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-22",,"65","49","62"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-23",,"69","47","49"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-24",,"59","41","42"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-25",,"60","42","53"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-26",,"62","48","54"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-27",,"67","49","49"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-28",,"54","47","49"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-29",,"58","37","40"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-30",,"58","37","40"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-05-31",,"62","40","51"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-01",,"76","51","56"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-02",,"71","53","54"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-03",,"64","52","56"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-04",,"71","56","60"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-05",,"80","60","64"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-06",,"68","50","51"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-07",,"63","51","53"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-08",,"59","46","52"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-09",,"52","43","48"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-10",,"50","43","48"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-11",,"53","39","44"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-12",,"70","44","55"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-13",,"81","55","61"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-14",,"77","49","50"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-15",,"63","47","52"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-16",,"68","51","56"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-17",,"67","56","65"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-18",,"71","51","61"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-19",,"85","61","71"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-20",,"78","52","53"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-21",,"60","51","53"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-22",,"60","53","54"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-23",,"59","49","51"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-24",,"66","50","54"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-25",,"76","53","62"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-26",,"79","51","52"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-27",,"57","49","53"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-28",,"67","52","55"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-29",,"64","54","64"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-06-30",,"72","48","48"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-01",,"61","48","50"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-02",,"74","50","57"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-03",,"64","57","60"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-04",,"80","59","60"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-05",,"68","56","56"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-06",,"63","52","55"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-07",,"68","55","60"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-08",,"80","60","63"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-09",,"78","60","61"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-10",,"72","58","59"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-11",,"66","55","58"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-12",,"68","58","62"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-13",,"81","62","69"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-14",,"86","66","67"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-15",,"82","64","64"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-16",,"76","62","62"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2024-07-17",,"71","57","60"
