"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/30/2024","AQS","260050003","1","0.037","ppm","34","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"03/31/2024","AQS","260050003","1","0.029","ppm","27","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/01/2024","AQS","260050003","1","0.04","ppm","37","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/02/2024","AQS","260050003","1","0.038","ppm","35","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/03/2024","AQS","260050003","1","0.034","ppm","31","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/04/2024","AQS","260050003","1","0.032","ppm","30","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/05/2024","AQS","260050003","1","0.044","ppm","41","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/06/2024","AQS","260050003","1","0.045","ppm","42","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/07/2024","AQS","260050003","1","0.047","ppm","44","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/08/2024","AQS","260050003","1","0.048","ppm","44","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/09/2024","AQS","260050003","1","0.041","ppm","38","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/10/2024","AQS","260050003","1","0.049","ppm","45","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/11/2024","AQS","260050003","1","0.048","ppm","44","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/12/2024","AQS","260050003","1","0.044","ppm","41","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/13/2024","AQS","260050003","1","0.051","ppm","47","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/14/2024","AQS","260050003","1","0.054","ppm","50","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/15/2024","AQS","260050003","1","0.051","ppm","47","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/16/2024","AQS","260050003","1","0.054","ppm","50","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/17/2024","AQS","260050003","1","0.04","ppm","37","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/24/2024","AQS","260050003","1","0.038","ppm","35","1016 W. 32nd St (Holland)","16","94.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
"04/25/2024","AQS","260050003","1","0.045","ppm","42","1016 W. 32nd St (Holland)","17","100.0000","44201","Ozone","087","26090","Holland, MI","26","Michigan","005","Allegan","42.7682333333333","-86.1506360833333"
