"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-07","106.8","8.9","33.3","38.0","19.4","24.7","14.0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-08","161.2","10.6","31.7","58.8","19.4","24.2","14.6"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-09","186.7","6.7","30.6","133.0","16.7","21.8","11.7"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-10","191.1","-1.7","24.4","396.1","10.0","13.5","6.4"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-11","191.1","-13.9","12.8","901.2","1.5","5.0","-2.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-12","191.1","-17.8","1.7","1637.1","-5.4","-2.5","-8.3"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-07","167.0","3.9","33.3","21.2","20.3","27.8","12.7"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-08","205.6","5.0","32.2","47.8","18.7","26.1","11.4"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-09","227.1","1.1","31.7","142.2","15.9","23.9","7.9"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-10","242.4","-6.7","28.9","431.1","9.3","15.8","2.7"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-11","242.4","-20.0","17.2","921.1","2.0","8.1","-4.1"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-12","242.4","-15.6","3.3","1578.7","-5.1","-2.7","-7.5"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-07","180.0","9.4","33.3","5.6","21.9","27.0","16.7"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-08","268.6","10.0","33.3","10.9","21.6","27.1","16.1"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-09","311.8","6.7","32.2","44.6","18.8","24.9","12.7"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-10","330.3","-0.6","29.4","232.7","12.3","16.6","8.1"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-11","330.3","-10.0","20.6","576.3","4.9","9.6","0.3"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-12","330.3","-15.0","3.3","1139.6","-3.4","-1.0","-5.8"
