"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-01","0.0","-22.8","5.0","2674.1","-8.8","-5.2","-12.4"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-02","0.0","-15.0","7.2","3309.0","-4.3","-0.9","-7.8"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-03","0.0","-15.6","12.8","3985.1","-3.5","0.9","-7.8"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-04","0.0","-2.8","27.2","4365.1","5.7","10.8","0.5"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-05","0.0","-1.1","25.0","4654.5","9.0","14.0","4.0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2005-06","36.8","6.1","31.7","4719.7","17.4","23.1","11.6"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-01","0.0","-31.7","11.7","2635.2","-10.1","-4.7","-15.4"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-02","0.0","-21.7","11.1","3292.6","-5.1","-0.1","-10.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-03","0.0","-22.2","16.7","4031.0","-5.5","2.1","-13.1"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-04","0.0","-6.7","27.2","4387.0","6.3","14.6","-2.0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-05","3.1","-6.7","27.2","4656.9","9.4","16.4","2.3"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2005-06","86.5","5.0","33.9","4674.4","20.7","28.0","13.4"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-01","0.0","-20.6","14.4","2062.3","-6.0","-2.1","-9.9"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-02","0.0","-17.8","7.2","2675.3","-3.6","0.4","-7.5"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-03","0.0","-16.1","14.4","3266.7","-2.1","1.9","-6.1"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-04","1.9","-2.2","28.3","3589.9","7.0","12.0","2.1"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-05","6.4","0.0","28.9","3800.3","11.3","16.6","6.0"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2005-06","82.8","3.3","34.4","3827.3","20.5","25.8","15.2"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2005-01","0.0","-23.9","13.3","2178.4","-6.7","-2.3","-11.1"
