"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","CDSD_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-01","0","0","-20",",0,19,+","36","1,0,31,","5220","0","8.4","1,0","18.1","1,,,0","-1.2",",,,0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-02","0","0","-31",",0,14,","43",",0,23,","6697","0","12.2",",0","25.3",",,,0","-0.8",",,,0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-03","0","0","-12",",0,09,","52",",0,21,","8061","0","21.0",",0","34.3",",,,0","7.7",",,,0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-04","7","0","7",",0,02,","85",",0,29,","8764","0","41.8",",0","52.4",",,,0","31.2",",,,0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-05","8","0","18",",0,06,","81",",0,18,","9189","0","51.3",",0","61.9",",,,0","40.8",",,,0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-06","97","0","33",",0,03,","92",",0,29,","9317","0","63.7",",0","76.0",",,,0","51.4",",,,0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-01","0","0","-15",",0,21,","37",",0,31,","4385","0","15.7",",0","23.9",",,,0","7.4",",,,0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-02","0","0","-16",",0,14,","46",",0,02,+","5714","0","17.5",",0","29.4",",,,0","5.6",",,,0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-03","0","0","1",",0,10,+","49",",0,21,","6954","0","25.0",",0","35.3",",,,0","14.7",",,,0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-04","0","0","16",",0,01,","70",",0,26,","7667","0","41.2",",0","51.9",",,,0","30.6",",,,0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-05","4","0","32",",0,06,","83","1,0,21,","8017","0","53.4","1,0","63.5","1,,,0","43.3",",,,0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-06","52","0","39",",0,26,","89",",0,18,","8153","0","62.1",",0","75.5",",,,0","48.7",",,,0"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-01","0","0","-10",",0,21,","33",",0,29,",,,"12.6",",0","20.9",",,,0","4.4",",,,0"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-02","0","0","-21",",0,04,","42",",0,23,",,,"14.1",",0","26.2",",,,0","2.1",",,,0"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-03","0","0","-9",",0,29,+","52",",0,19,",,,"21.1",",0","34.4",",,,0","7.9",",,,0"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-04","2","0","7",",0,01,","83",",0,29,",,,"39.4",",0","52.2",",,,0","26.6",",,,0"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-05","2","0","21","1,0,06,","81","1,0,21,",,,"48.6","1,0","60.5","1,,,0","36.7","1,,,0"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-06",,,,,,,,,,,,,,
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-01","0","0","-26",",0,20,","34",",0,28,","5566","0","6.0",",0","17.1",",,,0","-5.2",",,,0"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-02","0","0","-32",",0,15,","48",",0,24,","7168","0","7.8",",0","22.8",",,,0","-7.3",",,,0"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-03","0","0","-18",",0,01,","54",",0,22,","8621","0","18.1",",0","34.8",",,,0","1.5",",,,0"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-04","1","0","4",",0,02,","88",",0,30,","9449","0","37.4",",0","49.8",",,,0","25.1",",,,0"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-05","6","0","20",",0,06,","85",",0,19,","10002","0","47.3",",0","57.8",",,,0","36.8",",,,0"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-06","69","0","35",",0,19,+","91",",0,30,","10155","0","62.0",",0","74.8",",,,0","49.1",",,,0"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-01","0","0","-26",",0,18,","36",",0,31,","5551","0","5.9",",0","17.5",",,,0","-5.6",",,,0"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-02","0","0","-37",",0,14,","43","1,0,23,+","7050","0","9.5","1,0","25.1","1,,,0","-6.2",",,,0"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-03","0","0","-10",",0,09,","54",",0,21,","8404","0","21.3",",0","34.6",",,,0","8.0",",,,0"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-04","2","0","10",",0,07,","84",",0,29,","9147","0","40.3",",0","52.6",",,,0","28.0",",,,0"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-05","7","0","18",",0,06,","85",",0,21,+","9622","0","49.8",",0","61.7",",,,0","37.9",",,,0"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-06","57","0","34",",0,20,","92",",0,29,","9767","0","61.9",",0","77.1",",,,0","46.6",",,,0"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-01","0","0","-9",",0,24,+","36",",0,31,+","4331","0","15.8",",0","22.5",",,,0","9.1",",,,0"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-02","0","0","-11",",0,28,+","43",",0,01,","5625","0","18.8",",0","28.4",",,,0","9.1",",,,0"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-03","0","0","1",",0,09,","45",",0,24,","6871","0","24.8",",0","34.1",",,,0","15.5",",,,0"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-04","18","0","22",",0,11,","90",",0,29,","7464","0","45.9",",0","55.6",",,,0","36.1",",,,0"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-05","39","0","27",",0,06,","88","1,0,21,","7792","0","54.5","1,0","64.7","1,,,0","44.4",",,,0"
