"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-07","90.6","6.7","30.0","19.2","19.8","24.3","15.3"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-08","150.4","8.9","30.6","40.9","19.6","23.8","15.3"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-09","156.3","3.3","27.8","224.6","12.4","16.3","8.5"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-10","156.3","1.1","21.7","520.9","8.8","12.9","4.7"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-11","156.3","-12.2","13.3","1013.3","1.9","5.4","-1.5"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2010-12","156.3","-12.8","6.1","1727.1","-4.7","-2.3","-7.1"
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-07",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-08",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-09",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-10",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-11",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2010-12",,,,,,,
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-07",,"6.1","31.7","9.7","21.4","27.9","14.8"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-08",,"5.0","32.2","27.9","21.0","27.1","14.8"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-09",,"-0.6","31.1","183.9","13.6","19.6","7.6"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-10",,"-4.4","25.0","487.8","8.5","15.5","1.6"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-11",,"-8.9","18.3","958.9","2.6","7.5","-2.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2010-12",,"-16.7","9.4","1698.8","-5.5","-2.2","-8.9"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2010-07","172.4","10.0","32.8","4.5","22.2","27.1","17.3"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2010-08","270.0","10.0","32.2","10.6","21.6","26.3","16.8"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2010-09","293.4","6.1","32.8","109.7","15.6","19.9","11.3"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2010-10","293.4","0.6","23.3","332.5","10.6","15.0","6.3"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2010-11","293.4","-4.4","16.7","773.9","3.6","8.1","-0.9"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2010-12","293.4","-12.8","13.3","1447.1","-3.4","-1.1","-5.7"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2010-07","218.2","6.7","32.8","4.7","22.5","28.5","16.5"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2010-08","337.5","8.3","32.2","5.6","22.3","28.2","16.4"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2010-09","353.8","4.4","31.7","93.9","15.7","21.9","9.5"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2010-10","353.8","-2.2","25.6","303.2","10.5","16.6","4.3"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2010-11","353.8","-7.8","19.4","690.5","3.9","9.9","-2.1"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2010-12","353.8","-18.9","11.1","1394.3","-5.1","-1.6","-8.6"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2010-07","316.7","9.4","34.4","2.8","23.8","29.9","17.7"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2010-08","457.7","10.0","33.9","4.5","22.8","28.5","17.1"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2010-09","497.2","6.7","33.9","69.5","17.5","23.3","11.6"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2010-10","498.3","0.6","28.9","261.3","12.2","18.4","5.9"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2010-11","498.3","-6.1","17.8","666.6","4.3","10.1","-1.4"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2010-12","498.3","-14.4","13.3","1313.6","-4.0","-0.6","-7.5"
"US1MIME0002","BIG RAPIDS 0.7 ENE, MI US","43.707458","-85.47386","281.9","2010-07",,,,,,,
"US1MIME0002","BIG RAPIDS 0.7 ENE, MI US","43.707458","-85.47386","281.9","2010-08",,,,,,,
"US1MIME0002","BIG RAPIDS 0.7 ENE, MI US","43.707458","-85.47386","281.9","2010-09",,,,,,,
"US1MIME0002","BIG RAPIDS 0.7 ENE, MI US","43.707458","-85.47386","281.9","2010-10",,,,,,,
"US1MIME0002","BIG RAPIDS 0.7 ENE, MI US","43.707458","-85.47386","281.9","2010-11",,,,,,,
"US1MIME0002","BIG RAPIDS 0.7 ENE, MI US","43.707458","-85.47386","281.9","2010-12",,,,,,,
"US1MIME0003","BIG RAPIDS 3.2 NE, MI US","43.738311","-85.443267","307.5","2010-09",,,,,,,
"US1MIME0003","BIG RAPIDS 3.2 NE, MI US","43.738311","-85.443267","307.5","2010-10",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2010-07",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2010-08",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2010-09",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2010-10",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2010-11",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2010-12",,,,,,,
"US1MIVB0005","GRAND JUNCTION 2.9 SSW, MI US","42.375558","-86.091491","210.0","2010-07",,,,,,,
"US1MIVB0005","GRAND JUNCTION 2.9 SSW, MI US","42.375558","-86.091491","210.0","2010-08",,,,,,,
"USC00203025","FREMONT 4 WSW, MI US","43.44527","-86.02646","242.9","2010-07","193.3","7.2","31.7","5.0","21.9","27.4","16.4"
"USC00203025","FREMONT 4 WSW, MI US","43.44527","-86.02646","242.9","2010-08","298.0","8.3","31.1","11.4","21.5","27.1","15.9"
"USC00203025","FREMONT 4 WSW, MI US","43.44527","-86.02646","242.9","2010-09","314.5","4.4","30.0","137.2","14.7","19.6","9.8"
"USC00203025","FREMONT 4 WSW, MI US","43.44527","-86.02646","242.9","2010-10","314.5","-1.7","24.4","388.3","10.2","16.6","3.8"
"USC00203025","FREMONT 4 WSW, MI US","43.44527","-86.02646","242.9","2010-11","314.5","-5.6","19.4","817.6","4.0","9.0","-0.9"
"USC00203025","FREMONT 4 WSW, MI US","43.44527","-86.02646","242.9","2010-12","314.5","-14.4","9.4","1483.9","-3.9","-0.9","-6.9"
"USC00205563","MONROE, MI US","41.9069","-83.4158","178.6","2010-07",,,,,,,
"USC00205563","MONROE, MI US","41.9069","-83.4158","178.6","2010-08",,"9.4","33.3",,"23.2","29.1","17.2"
"USC00205563","MONROE, MI US","41.9069","-83.4158","178.6","2010-09",,,,,,,
"USC00205563","MONROE, MI US","41.9069","-83.4158","178.6","2010-10",,"-1.1","31.1",,"12.0","18.3","5.8"
"USC00205563","MONROE, MI US","41.9069","-83.4158","178.6","2010-11",,"-6.7","18.3",,"4.6","10.6","-1.4"
"USC00205563","MONROE, MI US","41.9069","-83.4158","178.6","2010-12",,"-16.1","13.3",,"-3.8","-0.4","-7.1"
"US1MIAN0001","WAYLAND 2.0 W, MI US","42.6732292","-85.68013763","225.2","2010-07",,,,,,,
"US1MIAN0001","WAYLAND 2.0 W, MI US","42.6732292","-85.68013763","225.2","2010-08",,,,,,,
"US1MIAN0001","WAYLAND 2.0 W, MI US","42.6732292","-85.68013763","225.2","2010-11",,,,,,,
"US1MIAN0001","WAYLAND 2.0 W, MI US","42.6732292","-85.68013763","225.2","2010-12",,,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2010-07",,,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2010-08",,,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2010-09",,,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2010-10",,,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2010-11",,,,,,,
"USC00206658","PONTIAC WWTP, MI US","42.6388","-83.2555","271.3","2010-12",,,,,,,
