"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-07","90.1","3.9","32.2","56.7","18.5","24.9","12.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-08","138.1","3.3","33.3","110.6","18.1","25.4","10.9"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-09","150.4","0.0","27.8","270.6","13.4","18.9","7.9"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-10","151.3","-4.4","22.8","553.3","9.2","14.4","4.0"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-11","151.3","-11.7","15.6","1039.7","1.6","5.2","-2.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","1970-12","151.3","-18.3","11.1","1767.8","-5.1","-1.0","-9.3"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-07","175.7","5.0","36.1","11.4","21.4","28.7","14.3"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-08","242.4","3.9","31.7","38.8","19.6","27.3","11.9"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-11",,"-12.2","15.0",,"2.1","6.3","-2.1"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","1970-12",,"-25.0","14.4",,"-4.4","-0.1","-8.7"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-07","202.4","7.2","33.3","11.4","21.5","27.4","15.6"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-08","283.2","7.8","32.2","22.7","20.6","27.6","13.6"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-09","326.5","-2.2","32.2","102.5","17.1","24.0","10.2"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-10","331.3","-4.4","27.2","320.7","11.4","17.8","5.1"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-11","331.3","-9.4","17.2","758.4","3.7","7.8","-0.3"
"USC00209014","WILLIS 5 SSW, MI US","42.08333","-83.58333","201.2","1970-12","331.3","-18.3","17.8","1392.8","-2.1","2.4","-6.7"
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1970-07",,,,,,,
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1970-08",,,,,,,
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1970-09",,,,,,,
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1970-10",,,,,,,
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1970-11",,,,,,,
"USC00208167","THOMPSONVILLE, MI US","44.51667","-85.93333","242.3","1970-12",,,,,,,
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1970-07","232.1","9.4","33.3","12.0","21.7","26.4","16.9"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1970-08","326.2","6.1","33.9","22.5","21.0","27.4","14.6"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1970-09","366.2","0.6","31.1","95.5","17.3","22.8","11.7"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1970-10","372.4","-1.7","26.7","309.5","11.6","16.6","6.6"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1970-11","372.4","-9.4","17.8","745.3","3.8","7.2","0.4"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","1970-12","372.4","-20.6","17.8","1414.9","-3.3","1.1","-7.6"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-07","144.2","3.3","31.7","16.1","20.7","27.4","14.0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-08","182.0","0.0","30.0","59.1","18.2","25.4","11.0"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-09","204.7","-1.7","28.9","206.6","14.2","19.8","8.6"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-10","204.7","-3.9","22.8","478.5","9.4","14.4","4.4"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-11","204.7","-21.1","12.2","1075.8","-1.6","2.0","-5.2"
"USC00208680","WATERSMEET, MI US","46.2778","-89.1742","484.6","1970-12","204.7","-30.0","6.7","1878.3","-7.6","-3.3","-11.8"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-07","119.6","8.9","31.7","5.8","21.1","26.7","15.5"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-08","192.4","8.3","32.2","21.8","20.2","26.3","14.0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-09","207.8","0.6","28.9","128.6","15.3","20.5","10.1"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-10","212.3","0.0","27.2","355.3","11.2","16.4","6.0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-11","212.3","-6.7","15.0","820.6","2.8","6.7","-1.0"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","1970-12","212.3","-18.9","14.4","1526.0","-4.4","-0.6","-8.3"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-07",,"1.1","31.7","37.5","19.0","26.5","11.5"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-08",,"0.6","31.1","103.0","17.5","24.9","10.2"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-09",,"-2.2","27.8","270.3","13.1","18.6","7.6"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-10",,"-6.7","24.4","559.8","9.0","14.6","3.4"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-11",,"-15.6","12.8","1093.2","0.6","4.5","-3.4"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","1970-12",,"-23.3","9.4","1858.5","-6.4","-2.4","-10.4"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-07",,,,,,,
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-08",,"0.6","33.3",,"17.9","26.0","9.7"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-09",,"-2.2","30.0",,"12.6","19.3","5.9"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-10",,"-3.9","23.3",,"7.6","13.9","1.2"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-11",,"-20.6","12.8",,"-1.1","3.0","-5.1"
"USC00200718","BERGLAND DAM, MI US","46.5869","-89.5475","396.2","1970-12",,"-30.6","8.9",,"-9.4","-3.8","-15.1"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-07","100.8","3.3","33.3","30.6","19.6","27.4","11.7"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-08","131.8","2.8","31.7","91.0","17.4","25.8","8.9"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-09","138.0","-2.2","28.9","267.0","12.7","18.8","6.6"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-10","138.0","-5.0","22.8","613.5","7.1","13.0","1.3"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-11","138.0","-17.2","11.7","1196.1","-1.1","3.1","-5.3"
"USC00471139","BRULE ISLAND, WI US","45.95","-88.21667","381.0","1970-12","138.0","-28.3","6.7","2044.4","-9.0","-3.7","-14.4"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-07","216.9","7.2","33.9","12.2","22.2","28.4","16.0"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-08","308.4","7.2","32.8","25.5","20.9","27.4","14.3"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-09","335.2","2.2","30.0","119.2","16.1","21.1","11.1"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-10","341.6","-1.1","26.7","337.8","11.5","16.3","6.7"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-11","341.6","-6.7","15.6","801.4","2.9","6.1","-0.4"
"USW00014850","TRAVERSE CITY CHERRY CAPITAL AIRPORT, MI US","44.73895","-85.5679","185.2","1970-12","341.6","-15.6","16.7","1472.9","-3.3","-0.4","-6.2"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-07","233.1","6.7","32.8","7.2","22.1","28.3","15.9"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-08","326.2","7.2","32.2","14.1","21.1","28.2","14.1"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-09","362.3","-0.6","30.6","103.5","16.6","22.3","10.9"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-10","363.7","-3.3","25.6","328.6","11.1","16.3","5.9"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-11","363.7","-11.1","15.6","778.5","3.3","7.3","-0.6"
"USC00203429","GREENVILLE 2 NNE, MI US","43.2026","-85.2421","270.7","1970-12","363.7","-20.6","17.8","1450.9","-3.4","0.7","-7.4"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-07","278.7","6.7","34.4","7.5","22.2","27.9","16.5"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-08","389.6","9.4","32.2","12.8","21.7","28.4","15.1"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-09","440.8","2.2","32.2","66.3","18.3","24.9","11.6"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-10","441.7","1.1","25.6","230.9","13.1","18.4","7.7"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-11","441.7","-10.6","15.6","643.4","4.6","8.3","0.8"
"USC00200710","BENTON HARBOR AIRPORT, MI US","42.1245","-86.4266","190.5","1970-12","441.7","-19.4","20.6","1223.5","-0.4","3.8","-4.5"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-09",,"-2.2","29.4",,"12.4","18.9","5.8"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-10",,"-5.6","23.3",,"7.4","13.4","1.3"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-11",,"-18.3","13.3",,"-1.2","3.2","-5.5"
"USC00201922","CRYSTAL FALLS 6 NE, MI US","46.16667","-88.23333","414.5","1970-12",,"-28.9","7.8",,"-9.1","-3.6","-14.5"
"USC00201800","CORNELL 4 WSW, MI US","45.88333","-87.3","268.2","1970-12",,"-20.6","9.4",,"-5.5","-0.8","-10.1"
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-07",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-08",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-09",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-10",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-11",,,,,,,
"USC00203306","GRAND LEDGE 1 NW, MI US","42.7621","-84.7617","244.1","1970-12",,,,,,,
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-07","209.5","7.2","33.3","11.9","21.7","27.4","16.1"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-08","295.5","7.8","32.2","23.6","20.7","27.4","14.1"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-09","335.3","-1.7","30.6","95.3","17.3","23.6","11.0"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-10","335.3","-3.9","25.0","303.6","11.6","17.2","6.0"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-11","335.3","-12.8","17.8","753.0","3.4","7.1","-0.4"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","1970-12","335.3","-21.1","17.8","1386.9","-2.1","2.3","-6.5"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-07","65.2","9.4","32.2","17.6","19.6","25.1","14.1"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-08","116.6","8.3","27.8","40.1","19.3","24.3","14.3"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-09","125.0","2.2","26.7","156.1","14.8","18.6","10.9"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-10","125.0","0.0","20.0","393.7","10.7","14.4","6.9"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-11","125.0","-8.9","11.7","863.5","2.7","6.1","-0.7"
"USC00202737","FAYETTE 4 SW, MI US","45.66667","-86.71667","227.1","1970-12","125.0","-17.2","10.0","1550.6","-3.8","0.1","-7.7"
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-07",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-08",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-09",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-10",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-11",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","1970-12",,,,,,,
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-07","47.3","5.6","30.6","37.7","18.3","24.6","12.0"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-08","82.3","3.9","31.1","94.3","17.6","24.1","11.2"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-09","85.7","-0.6","27.2","264.6","12.8","17.5","8.0"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-10","85.7","-2.8","23.3","562.8","8.7","13.2","4.2"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-11","85.7","-10.0","12.8","1098.2","0.5","3.9","-2.9"
"USW00014847","SAULT STE MARIE SANDERSON FIELD, MI US","46.47998","-84.35809","219.8","1970-12","85.7","-21.7","10.0","1919.3","-8.1","-4.6","-11.7"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","1970-07","152.1","6.7","35.0","13.1","21.1","28.7","13.4"
