"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-07","50.9","6.1","29.4","65.6","17.8","22.7","12.9"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-08","74.6","6.7","30.6","117.5","17.4","21.4","13.5"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-09","97.9","3.9","27.8","183.9","16.9","20.6","13.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-10","97.9","-1.1","20.0","504.6","7.6","11.2","4.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-11","97.9","-10.0","18.9","945.7","3.6","7.5","-0.3"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-12","97.9","-9.4","10.6","1484.1","0.4","2.8","-2.0"
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-07",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-08",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-09",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-10",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-11",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-12",,,,,,,
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-07","91.5","5.6","33.9","29.5","19.7","26.9","12.5"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-08","149.0","7.8","32.2","60.1","19.2","25.1","13.3"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-09","187.9","0.0","31.7","137.2","17.1","23.4","10.7"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-10","187.9","-2.8","25.0","460.6","7.9","13.3","2.5"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-11","187.9","-11.7","23.3","901.3","3.6","9.4","-2.1"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-12","187.9","-8.3","13.3","1434.5","1.1","4.3","-2.1"
"USC00206662","PORT AUSTIN WWTP, MI US","44.0469","-82.9702","184.4","2015-07","90.1","6.7","31.7","26.9","19.5","25.0","14.0"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2015-07",,"8.3","32.2","9.8","20.9","27.5","14.2"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2015-08",,"7.2","32.2","24.6","20.5","26.2","14.8"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2015-09",,"4.4","32.2","66.5","19.1","25.7","12.6"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2015-10",,"-4.4","25.0","302.9","10.7","16.4","5.1"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2015-11",,"-11.7","25.6","667.2","6.2","12.3","0.1"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2015-12",,"-6.7","15.6","1129.8","3.4","7.5","-0.6"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2015-07","177.4","11.1","32.8","5.0","21.3","26.9","15.6"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2015-08","258.9","10.0","31.7","16.9","20.6","26.2","15.1"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2015-09","327.9","7.2","32.2","49.2","19.6","25.8","13.4"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2015-10",,"-2.2",,,,,"5.6"
"USC00205451","MILAN WWTP, MI US","42.0811","-83.6769","207.3","2015-12",,,"17.8",,,"8.1",
"USC00206780","QUINCY HILL, MI US","47.1364","-88.5795","349.0","2015-08",,,,,,,
"USC00206780","QUINCY HILL, MI US","47.1364","-88.5795","349.0","2015-09",,,,,,,
"USC00206780","QUINCY HILL, MI US","47.1364","-88.5795","349.0","2015-10",,,,,,,
"USC00206780","QUINCY HILL, MI US","47.1364","-88.5795","349.0","2015-11",,,,,,,
"USC00206780","QUINCY HILL, MI US","47.1364","-88.5795","349.0","2015-12",,,,,,,
"US1MIME0008","LAKEVIEW 2.5 NNE, MI US","43.4821245074272","-85.262514129281","303.6","2015-07",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2015-08",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2015-09",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2015-11",,,,,,,
"US1MIOW0014","HOLLAND 4.4 NW, MI US","42.823464","-86.151194","199.0","2015-12",,,,,,,
