"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-01","0.0","-20.0","2.2","2524.8","-7.8","-3.9","-11.7"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-02","0.0","-19.4","10.6","3203.4","-5.1","-0.5","-9.6"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-03","0.0","-10.6","21.1","3736.3","1.1","5.2","-2.9"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-04","0.0","-6.1","20.6","4194.2","3.1","7.4","-1.2"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-05","3.9","-1.7","29.4","4418.4","11.2","17.3","5.1"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-06","5.5","4.4","28.3","4540.0","14.3","19.4","9.3"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-01","0.0","-27.2","7.2","2521.6","-8.9","-3.5","-14.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-02","0.0","-29.4","14.4","3228.1","-6.0","0.4","-12.5"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-03","0.0","-14.4","25.6","3718.4","2.5","9.0","-4.0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-04","0.0","-8.9","22.2","4139.2","4.3","11.0","-2.4"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-05","14.9","-3.9","29.4","4333.8","12.5","19.4","5.7"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-06","40.5","1.7","30.6","4406.5","16.8","22.9","10.7"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-01",,,,,,,
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-02",,,,,,,
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-03",,"-8.9","25.6",,"5.2","11.4","-0.9"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-04",,"-5.0","24.4",,"7.4","13.3","1.6"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-05",,"2.2","28.9",,"14.9","20.6","9.2"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-06",,"5.6","31.1",,"19.1","24.4","13.8"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-01","0.0","-23.9","13.3","1926.1","-5.0","-0.4","-9.5"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-02",,"-18.3","19.4",,"-0.8","3.9","-5.5"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-03",,"-8.3","26.1",,"6.2","12.8","-0.3"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-04",,"-5.6","26.1",,"7.6","14.8","0.4"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-05",,"-2.2","31.1",,"16.2","22.8","9.6"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-06",,"5.6","32.2",,"20.1","26.0","14.3"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","2000-01",,"-27.2","3.3",,"-9.8","-4.4","-15.3"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","2000-02",,"-25.0","13.3",,"-6.0","-0.3","-11.6"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","2000-03",,"-18.3","19.4",,"-0.1","5.8","-6.0"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","2000-04",,"-10.0","21.1",,"2.9","9.3","-3.6"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","2000-05",,"-4.4","27.8",,"10.4","17.6","3.2"
"USC00208043","TAHQUAMENON FALLS S P, MI US","46.6013","-85.2238","227.1","2000-06",,"-1.7","27.2",,"13.3","20.3","6.3"
"USC00207190","RUDYARD 4 N, MI US","46.2963","-84.5761","229.5","2000-01","0.0","-29.4","2.2","2524.4","-9.2","-4.1","-14.2"
"USC00207190","RUDYARD 4 N, MI US","46.2963","-84.5761","229.5","2000-02","0.0","-22.8","10.0","3193.5","-4.7","0.3","-9.8"
"USC00207190","RUDYARD 4 N, MI US","46.2963","-84.5761","229.5","2000-03","0.0","-16.1","18.3","3711.9","1.6","7.5","-4.3"
"USC00207190","RUDYARD 4 N, MI US","46.2963","-84.5761","229.5","2000-04","0.0","-10.0","22.8","4108.8","4.7","11.7","-2.2"
"USC00207190","RUDYARD 4 N, MI US","46.2963","-84.5761","229.5","2000-05","5.6","-2.8","28.9","4319.3","11.7","18.9","4.5"
"USC00207190","RUDYARD 4 N, MI US","46.2963","-84.5761","229.5","2000-06","14.3","1.7","26.7","4409.4","15.5","22.2","8.9"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","2000-01","0.0","-25.6","13.3",,"-6.0","-0.8","-11.2"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","2000-02","0.0","-20.0","18.9",,"-1.4","4.0","-6.8"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","2000-03","1.1","-8.9","25.6",,"5.1","11.1","-0.9"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","2000-04","1.1","-3.9","24.4",,"7.6","13.9","1.3"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","2000-05","22.0","0.6","28.9",,"15.0","21.1","9.0"
"USC00203823","HILLSDALE, MI US","41.9352","-84.6411","329.2","2000-06","88.8","3.9","31.7",,"19.4","24.8","14.0"
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","2000-01",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","2000-02",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","2000-03",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","2000-04",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","2000-05",,,,,,,
"USC00203947","HOWELL WWTP, MI US","42.59382","-83.93251","279.5","2000-06",,,,,,,
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","2000-01","0.0","-27.2","2.8",,"-9.2","-3.4","-14.9"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","2000-02","0.0","-31.1","12.2",,"-5.0","1.0","-11.0"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","2000-03","0.0","-15.0","25.6",,"2.7","9.0","-3.6"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","2000-04","0.0","-9.4","21.7",,"4.6","11.6","-2.3"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","2000-05","12.3","-3.3","30.6",,"12.9","20.4","5.3"
"USC00207867","STEPHENSON 8 WNW, MI US","45.39028","-87.7025","210.3","2000-06","26.8","0.0","33.3",,"16.4","23.7","9.1"
"USC00202851","FLINT 7 W, MI US","43.0377","-83.7694","207.0","2000-01",,,,,,,
"USC00202851","FLINT 7 W, MI US","43.0377","-83.7694","207.0","2000-02",,,,,,,
"USC00202851","FLINT 7 W, MI US","43.0377","-83.7694","207.0","2000-03",,,,,,,
"USC00202851","FLINT 7 W, MI US","43.0377","-83.7694","207.0","2000-04",,,,,,,
