"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-01","0.0","-23.9","1.1","2885.9","-10.6","-6.2","-14.9"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-02","0.0","-27.2","-3.3","3805.8","-14.5","-10.5","-18.5"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-03","0.0","-20.6","10.0","4508.5","-4.3","0.6","-9.3"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-04","0.0","-9.4","15.6","4990.2","2.3","6.4","-1.9"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-05","0.8","-2.2","27.2","5241.5","10.3","16.3","4.3"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2015-06","1.4","0.6","26.1","5410.6","12.7","17.7","7.8"
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-01",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-02",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-03",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-04",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-05",,,,,,,
"USC00203270","GLADSTONE NUMBER 2, MI US","45.8433","-87.0391","218.5","2015-06",,,,,,,
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-01","0.0","-29.4","3.3","2733.3","-10.5","-5.0","-16.1"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-02","0.0","-36.1","-0.6","3705.7","-16.4","-8.8","-24.0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-03","0.0","-28.9","14.4","4381.2","-3.5","3.1","-10.0"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2015-04","0.0","-8.9","21.7","4786.0","4.8","11.5","-1.8"
