"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","CDSD","EMNT","EMXT","HDSD","TAVG","TMAX","TMIN"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-07","23.8","4.4","27.2","68.3","16.7","21.6","11.8"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-08","37.9","6.7","27.8","119.7","17.1","22.1","12.2"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-09","43.2","0.0","30.0","284.7","13.0","17.4","8.7"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-10","43.2","-1.7","21.1","582.8","8.7","12.7","4.7"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-11","43.2","-10.0","18.3","1088.0","1.5","4.5","-1.5"
"USC00205690","MUNISING, MI US","46.4121","-86.6625","207.3","2000-12","43.2","-22.2","0.6","1932.0","-8.9","-5.4","-12.4"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-07","77.8","2.8","30.6","48.1","18.0","25.0","10.9"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-08","103.3","0.6","28.9","101.9","17.4","24.7","10.2"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-09","125.2","-5.6","31.7","275.6","13.3","20.1","6.5"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-10","125.5","-8.9","24.4","575.5","8.7","15.9","1.4"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-11","125.5","-9.4","19.4","1028.2","1.4","5.0","-2.3"
"USC00203391","GRAYLING, MI US","44.64536","-84.69921","350.8","2000-12","125.5","-27.2","1.1","1872.8","-9.8","-5.4","-14.2"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-07",,"8.9","29.4","21.7","19.0","24.8","13.2"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-08",,"7.8","30.0","42.2","19.9","25.1","14.7"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-09",,"1.7","30.6","145.8","15.8","21.3","10.3"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-10",,,"23.9",,,"18.2",
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-11",,"-12.2","18.9",,"2.8","6.6","-1.0"
"USC00205452","MILFORD GM PROVING GROUND, MI US","42.5794","-83.6844","295.7","2000-12",,"-27.2","3.3",,"-10.2","-4.5","-15.9"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-07",,"8.9","29.4","7.8","20.1","26.1","14.1"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-08",,"3.3","31.7","26.4","20.2","26.5","13.9"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-09",,"0.6","30.6","107.9","16.9","23.5","10.3"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-11",,"-11.1","20.0",,"4.2","8.4","0.1"
"USC00205450","MILAN 4 ESE, MI US","42.06639","-83.61861","204.2","2000-12",,"-25.0","2.8",,"-7.9","-3.8","-12.1"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","2000-07","66.4","0.0","29.4","36.8","18.8","24.3","13.3"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","2000-08","100.6","6.7","28.9","67.9","18.4","23.8","13.1"
"USC00201492","CHEBOYGAN, MI US","45.65225","-84.47239","177.4","2000-09","120.4","-1.7","33.3","202.9","14.5","20.4","8.6"
